logid,timestamp,workorderid_fk,productid_fk,machineid_fk,operatorid_fk,inputquantity,outputgoodquantity,outputdefectquantity,machinestatus,reworkflag,notes
50,2024-12-03 00:34:45,WO-241126180000-922,FPC_DL_PI35,LAMINATE01,OP005,99,95,4,RUNNING,False,
51,2024-12-03 05:04:59,WO-241126180000-922,FPC_DL_PI35,ETCH01,OP003,95,90,5,RUNNING,False,
52,2024-12-03 09:25:05,WO-241126180000-922,FPC_DL_PI35,DRILL_LASER01,OP005,90,88,2,RUNNING,False,
53,2024-12-03 13:46:09,WO-241126180000-922,FPC_DL_PI35,AOI_FPC01,OP002,88,87,1,RUNNING,False,
54,2024-12-03 17:54:37,WO-241126180000-922,FPC_DL_PI35,TEST_E_FPC01,OP001,87,85,2,RUNNING,False,
55,2024-12-07 20:01:55,WO-241126180000-868,FPC_SL_LCP9_HF,LAMINATE01,OP004,3324,3167,157,RUNNING,False,
56,2024-12-12 12:36:28,WO-241126180000-868,FPC_SL_LCP9_HF,ETCH01,OP002,3167,3021,146,RUNNING,False,
57,2024-12-17 07:17:44,WO-241126180000-868,FPC_SL_LCP9_HF,AOI_FPC01,OP005,3021,2971,50,RUNNING,False,
58,2024-12-21 04:09:43,WO-241126180000-868,FPC_SL_LCP9_HF,TEST_E_FPC01,OP005,2971,2849,122,RUNNING,False,
59,2024-12-04 16:36:45,WO-241126180000-576,FPC_DL_PI35,LAMINATE01,OP002,370,354,16,RUNNING,False,
60,2024-12-05 15:12:41,WO-241126180000-576,FPC_DL_PI35,ETCH01,OP003,354,340,14,RUNNING,False,
61,2024-12-06 07:59:51,WO-241126180000-576,FPC_DL_PI35,DRILL_LASER01,OP002,340,339,1,RUNNING,False,
62,2024-12-07 04:10:59,WO-241126180000-576,FPC_DL_PI35,AOI_FPC01,OP002,339,337,2,RUNNING,False,
63,2024-12-08 00:30:24,WO-241126180000-576,FPC_DL_PI35,TEST_E_FPC01,OP004,337,318,19,RUNNING,False,
64,2024-12-08 00:53:44,WO-241126180000-144,FPC_SL_LCP9_HF,LAMINATE01,OP004,3037,2923,114,RUNNING,False,
65,2024-12-11 15:12:43,WO-241126180000-144,FPC_SL_LCP9_HF,ETCH01,OP004,2923,2891,32,RUNNING,False,
66,2024-12-15 04:50:57,WO-241126180000-144,FPC_SL_LCP9_HF,AOI_FPC01,OP004,2891,2790,101,RUNNING,False,
67,2024-12-18 23:26:57,WO-241126180000-144,FPC_SL_LCP9_HF,TEST_E_FPC01,OP004,2790,2759,31,RUNNING,False,
68,2024-12-04 00:43:40,WO-241126180000-143,FPC_SL_PI18,LAMINATE01,OP002,222,221,1,RUNNING,False,
69,2024-12-04 08:36:40,WO-241126180000-143,FPC_SL_PI18,ETCH01,OP002,221,217,4,RUNNING,False,
70,2024-12-04 16:18:14,WO-241126180000-143,FPC_SL_PI18,AOI_FPC01,OP005,217,216,1,RUNNING,False,
71,2024-12-04 23:26:29,WO-241126180000-143,FPC_SL_PI18,TEST_E_FPC01,OP005,216,210,6,RUNNING,False,
72,2024-12-15 10:03:26,WO-241127180000-189,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP001,7071,7056,15,RUNNING,False,
73,2024-12-26 15:13:04,WO-241127180000-189,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP003,7056,7041,15,RUNNING,False,
74,2025-01-10 04:47:12,WO-241127180000-189,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP005,7041,7026,15,RUNNING,False,
75,2025-01-20 15:10:19,WO-241127180000-189,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP004,7026,6995,31,RUNNING,False,
76,2024-12-05 14:57:09,WO-241128170000-349,FPC_ML4_MPI12,LAMINATE01,OP005,343,326,17,RUNNING,False,
77,2024-12-07 04:36:15,WO-241128170000-349,FPC_ML4_MPI12,ETCH01,OP001,326,319,7,RUNNING,False,
78,2024-12-08 16:23:34,WO-241128170000-349,FPC_ML4_MPI12,DRILL_LASER01,OP005,319,305,14,RUNNING,False,
79,2024-12-10 12:07:57,WO-241128170000-349,FPC_ML4_MPI12,AOI_FPC01,OP005,305,303,2,RUNNING,False,
80,2024-12-11 23:49:19,WO-241128170000-349,FPC_ML4_MPI12,TEST_E_FPC01,OP004,303,294,9,RUNNING,False,
81,2024-12-04 08:48:45,WO-241129170000-711,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP003,87,86,1,RUNNING,False,
82,2024-12-05 00:39:52,WO-241129170000-711,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP003,86,85,1,RUNNING,False,
83,2024-12-05 13:48:26,WO-241129170000-711,MODULE_SENSOR_A,AOI_ASSY01,OP002,85,84,1,RUNNING,False,
84,2024-12-06 04:07:52,WO-241129170000-711,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP002,84,83,1,RUNNING,False,
85,2024-12-04 02:03:24,WO-241130170000-223,FPC_SL_PI18,LAMINATE01,OP001,292,291,1,RUNNING,False,
86,2024-12-04 11:19:31,WO-241130170000-223,FPC_SL_PI18,ETCH01,OP002,291,290,1,RUNNING,False,
87,2024-12-04 20:34:29,WO-241130170000-223,FPC_SL_PI18,AOI_FPC01,OP001,290,286,4,RUNNING,False,
88,2024-12-05 06:37:01,WO-241130170000-223,FPC_SL_PI18,TEST_E_FPC01,OP002,286,285,1,RUNNING,False,
89,2024-12-05 13:16:04,WO-241128170000-134,FPC_DL_PI35,LAMINATE01,OP004,373,363,10,RUNNING,False,
90,2024-12-06 06:48:06,WO-241128170000-134,FPC_DL_PI35,ETCH01,OP001,363,349,14,RUNNING,False,
91,2024-12-07 00:58:11,WO-241128170000-134,FPC_DL_PI35,DRILL_LASER01,OP005,349,343,6,RUNNING,False,
92,2024-12-07 22:14:10,WO-241128170000-134,FPC_DL_PI35,AOI_FPC01,OP004,343,341,2,RUNNING,False,
93,2024-12-08 18:23:03,WO-241128170000-134,FPC_DL_PI35,TEST_E_FPC01,OP004,341,332,9,RUNNING,False,
94,2024-12-05 08:14:11,WO-241129170000-344,FPC_SL_PI18,LAMINATE01,OP001,394,385,9,RUNNING,False,
95,2024-12-05 22:37:19,WO-241129170000-344,FPC_SL_PI18,ETCH01,OP005,385,384,1,RUNNING,False,
96,2024-12-06 12:37:05,WO-241129170000-344,FPC_SL_PI18,AOI_FPC01,OP001,384,381,3,RUNNING,False,
97,2024-12-07 01:12:15,WO-241129170000-344,FPC_SL_PI18,TEST_E_FPC01,OP003,381,377,4,RUNNING,False,
98,2024-12-08 18:38:23,WO-241130170000-804,FPC_SL_PI18,LAMINATE01,OP003,4552,4452,100,RUNNING,False,
99,2024-12-13 06:27:33,WO-241130170000-804,FPC_SL_PI18,ETCH01,OP005,4452,4443,9,RUNNING,False,
100,2024-12-18 10:56:49,WO-241130170000-804,FPC_SL_PI18,AOI_FPC01,OP004,4443,4434,9,RUNNING,False,
101,2024-12-22 14:45:27,WO-241130170000-804,FPC_SL_PI18,TEST_E_FPC01,OP003,4434,4361,73,RUNNING,False,
102,2024-12-05 08:08:19,WO-241130170000-124,FPC_ML4_MPI12,LAMINATE01,OP002,107,103,4,RUNNING,False,
103,2024-12-05 21:29:35,WO-241130170000-124,FPC_ML4_MPI12,ETCH01,OP003,103,99,4,DOWN,False,
104,2024-12-06 10:10:10,WO-241130170000-124,FPC_ML4_MPI12,DRILL_LASER01,OP005,99,93,6,RUNNING,False,
105,2024-12-06 20:22:28,WO-241130170000-124,FPC_ML4_MPI12,AOI_FPC01,OP003,93,92,1,RUNNING,False,
106,2024-12-07 07:29:59,WO-241130170000-124,FPC_ML4_MPI12,TEST_E_FPC01,OP001,92,86,6,RUNNING,False,
107,2024-12-22 07:34:04,WO-241130170000-920,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP001,3616,3608,8,RUNNING,False,
108,2025-01-07 03:26:20,WO-241130170000-920,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP003,3608,3563,45,RUNNING,False,
109,2025-01-28 01:18:34,WO-241130170000-920,MODULE_SENSOR_A,AOI_ASSY01,OP005,3563,3555,8,RUNNING,False,
110,2025-02-20 05:10:56,WO-241130170000-920,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP003,3555,3547,8,RUNNING,False,
111,2024-12-06 10:19:11,WO-241201180000-949,FPC_SL_LCP9_HF,LAMINATE01,OP005,447,446,1,RUNNING,False,
112,2024-12-07 07:04:38,WO-241201180000-949,FPC_SL_LCP9_HF,ETCH01,OP002,446,435,11,RUNNING,False,
113,2024-12-07 22:38:24,WO-241201180000-949,FPC_SL_LCP9_HF,AOI_FPC01,OP005,435,419,16,RUNNING,False,
114,2024-12-08 18:16:07,WO-241201180000-949,FPC_SL_LCP9_HF,TEST_E_FPC01,OP003,419,418,1,RUNNING,False,
115,2024-12-07 01:05:01,WO-241201180000-319,FPC_SL_PI18,LAMINATE01,OP004,238,237,1,RUNNING,False,
116,2024-12-07 08:58:30,WO-241201180000-319,FPC_SL_PI18,ETCH01,OP001,237,230,7,RUNNING,False,
117,2024-12-07 15:54:07,WO-241201180000-319,FPC_SL_PI18,AOI_FPC01,OP003,230,229,1,RUNNING,False,
118,2024-12-07 23:01:54,WO-241201180000-319,FPC_SL_PI18,TEST_E_FPC01,OP004,229,214,15,RUNNING,False,
119,2024-12-15 05:32:55,WO-241201180000-428,FPC_DL_PI35,LAMINATE01,OP002,4210,4003,207,RUNNING,False,
120,2024-12-22 20:16:20,WO-241201180000-428,FPC_DL_PI35,ETCH01,OP003,4003,3818,185,RUNNING,False,
121,2024-12-28 20:04:09,WO-241201180000-428,FPC_DL_PI35,DRILL_LASER01,OP004,3818,3714,104,RUNNING,False,
122,2025-01-04 12:17:20,WO-241201180000-428,FPC_DL_PI35,AOI_FPC01,OP001,3714,3706,8,RUNNING,False,
123,2025-01-11 10:49:12,WO-241201180000-428,FPC_DL_PI35,TEST_E_FPC01,OP004,3706,3561,145,RUNNING,False,
124,2024-12-08 03:54:43,WO-241129170000-480,FPC_ML4_MPI12,LAMINATE01,OP002,239,231,8,RUNNING,False,
125,2024-12-09 05:55:18,WO-241129170000-480,FPC_ML4_MPI12,ETCH01,OP002,231,227,4,RUNNING,False,
126,2024-12-10 09:12:00,WO-241129170000-480,FPC_ML4_MPI12,DRILL_LASER01,OP004,227,217,10,RUNNING,False,
127,2024-12-11 11:26:36,WO-241129170000-480,FPC_ML4_MPI12,AOI_FPC01,OP001,217,209,8,RUNNING,False,
128,2024-12-12 11:33:41,WO-241129170000-480,FPC_ML4_MPI12,TEST_E_FPC01,OP003,209,201,8,RUNNING,False,
129,2024-12-06 21:45:14,WO-241203170000-127,FPC_SL_PI18,LAMINATE01,OP005,137,136,1,RUNNING,False,
130,2024-12-07 02:26:30,WO-241203170000-127,FPC_SL_PI18,ETCH01,OP005,136,135,1,RUNNING,False,
131,2024-12-07 07:09:57,WO-241203170000-127,FPC_SL_PI18,AOI_FPC01,OP002,135,134,1,RUNNING,False,
132,2024-12-07 11:07:53,WO-241203170000-127,FPC_SL_PI18,TEST_E_FPC01,OP005,134,131,3,RUNNING,False,
133,2024-12-07 00:10:27,WO-241203170000-641,FPC_DL_PI35,LAMINATE01,OP005,115,110,5,RUNNING,False,
134,2024-12-07 06:16:21,WO-241203170000-641,FPC_DL_PI35,ETCH01,OP002,110,107,3,RUNNING,False,
135,2024-12-07 12:59:10,WO-241203170000-641,FPC_DL_PI35,DRILL_LASER01,OP003,107,104,3,RUNNING,False,
136,2024-12-07 18:16:51,WO-241203170000-641,FPC_DL_PI35,AOI_FPC01,OP002,104,103,1,RUNNING,False,
137,2024-12-08 00:05:59,WO-241203170000-641,FPC_DL_PI35,TEST_E_FPC01,OP002,103,97,6,RUNNING,False,
138,2024-12-07 13:48:16,WO-241203170000-367,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP004,373,372,1,RUNNING,False,
139,2024-12-08 08:31:35,WO-241203170000-367,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP005,372,364,8,RUNNING,False,
140,2024-12-09 00:14:12,WO-241203170000-367,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP001,364,359,5,RUNNING,False,
141,2024-12-09 16:04:32,WO-241203170000-367,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP005,359,349,10,RUNNING,False,
142,2024-12-10 23:12:10,WO-241204170000-465,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP003,447,441,6,RUNNING,False,
143,2024-12-13 20:19:12,WO-241204170000-465,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP001,441,429,12,RUNNING,False,
144,2024-12-17 04:03:00,WO-241204170000-465,MODULE_SENSOR_A,AOI_ASSY01,OP005,429,428,1,RUNNING,False,
145,2024-12-20 10:26:58,WO-241204170000-465,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP002,428,418,10,RUNNING,False,
146,2024-12-09 23:20:11,WO-241201180000-283,FPC_DL_PI35,LAMINATE01,OP001,493,488,5,RUNNING,False,
147,2024-12-10 22:43:22,WO-241201180000-283,FPC_DL_PI35,ETCH01,OP004,488,461,27,RUNNING,False,
148,2024-12-12 00:39:29,WO-241201180000-283,FPC_DL_PI35,DRILL_LASER01,OP003,461,450,11,RUNNING,False,
149,2024-12-13 05:17:23,WO-241201180000-283,FPC_DL_PI35,AOI_FPC01,OP002,450,445,5,RUNNING,False,
150,2024-12-14 03:00:37,WO-241201180000-283,FPC_DL_PI35,TEST_E_FPC01,OP002,445,441,4,RUNNING,False,
151,2024-12-09 01:03:41,WO-241202180000-342,FPC_SL_LCP9_HF,LAMINATE01,OP001,109,102,7,RUNNING,False,
152,2024-12-09 04:56:09,WO-241202180000-342,FPC_SL_LCP9_HF,ETCH01,OP001,102,100,2,RUNNING,False,
153,2024-12-09 08:55:41,WO-241202180000-342,FPC_SL_LCP9_HF,AOI_FPC01,OP002,100,99,1,RUNNING,False,
154,2024-12-09 12:26:52,WO-241202180000-342,FPC_SL_LCP9_HF,TEST_E_FPC01,OP003,99,95,4,RUNNING,False,
155,2024-12-11 17:11:12,WO-241205170000-737,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP005,494,493,1,RUNNING,False,
156,2024-12-14 16:31:24,WO-241205170000-737,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP002,493,489,4,RUNNING,False,
157,2024-12-17 13:59:18,WO-241205170000-737,MODULE_SENSOR_A,AOI_ASSY01,OP001,489,479,10,RUNNING,False,
158,2024-12-20 14:49:05,WO-241205170000-737,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP004,479,478,1,RUNNING,False,
159,2024-12-09 04:09:41,WO-241204170000-167,FPC_SL_PI18,LAMINATE01,OP004,326,325,1,RUNNING,False,
160,2024-12-09 15:32:37,WO-241204170000-167,FPC_SL_PI18,ETCH01,OP005,325,321,4,RUNNING,False,
161,2024-12-10 00:58:09,WO-241204170000-167,FPC_SL_PI18,AOI_FPC01,OP004,321,307,14,RUNNING,False,
162,2024-12-10 11:10:50,WO-241204170000-167,FPC_SL_PI18,TEST_E_FPC01,OP003,307,303,4,RUNNING,False,
163,2024-12-25 14:25:44,WO-241204170000-660,ASSY02_FPC_ML4_MPI12,SMT_LINE1_PLACE,OP004,5010,4764,246,RUNNING,False,
164,2025-01-09 05:36:01,WO-241204170000-660,ASSY02_FPC_ML4_MPI12,BOND_ACF01,OP003,4764,4595,169,RUNNING,False,
165,2025-01-21 22:34:58,WO-241204170000-660,ASSY02_FPC_ML4_MPI12,SMT_LINE1_REFLOW,OP005,4595,4410,185,RUNNING,False,
166,2025-02-06 02:20:35,WO-241204170000-660,ASSY02_FPC_ML4_MPI12,AOI_ASSY01,OP004,4410,4299,111,RUNNING,False,
167,2025-02-19 04:33:01,WO-241204170000-660,ASSY02_FPC_ML4_MPI12,TEST_FUNC_ASSY01,OP002,4299,4207,92,RUNNING,False,
168,2025-01-15 04:25:14,WO-241202180000-748,FPC_ML4_MPI12,LAMINATE01,OP003,9543,9311,232,RUNNING,False,
169,2025-02-23 13:14:57,WO-241202180000-748,FPC_ML4_MPI12,ETCH01,OP004,9311,8575,736,RUNNING,False,
170,2025-04-05 11:56:14,WO-241202180000-748,FPC_ML4_MPI12,DRILL_LASER01,OP005,8575,8285,290,RUNNING,False,
171,2025-05-07 15:02:05,WO-241202180000-748,FPC_ML4_MPI12,AOI_FPC01,OP001,8285,7871,414,RUNNING,False,
172,2025-06-05 16:48:42,WO-241202180000-748,FPC_ML4_MPI12,TEST_E_FPC01,OP005,7871,7674,197,RUNNING,False,
173,2024-12-10 04:18:49,WO-241206170000-974,ASSY01_FPC_SL_PI18,SMT_LINE1_PLACE,OP002,190,189,1,RUNNING,False,
174,2024-12-10 13:11:25,WO-241206170000-974,ASSY01_FPC_SL_PI18,SMT_LINE1_REFLOW,OP002,189,186,3,RUNNING,False,
175,2024-12-10 23:42:43,WO-241206170000-974,ASSY01_FPC_SL_PI18,AOI_ASSY01,OP001,186,185,1,RUNNING,False,
176,2024-12-11 09:29:40,WO-241206170000-974,ASSY01_FPC_SL_PI18,TEST_FUNC_ASSY01,OP001,185,181,4,RUNNING,False,
177,2024-12-10 11:08:56,WO-241203170000-663,MODULE_SENSOR_A,SMT_LINE1_PLACE,OP005,88,84,4,RUNNING,False,
178,2024-12-11 01:34:50,WO-241203170000-663,MODULE_SENSOR_A,SMT_LINE1_REFLOW,OP002,84,83,1,RUNNING,False,
179,2024-12-11 15:14:52,WO-241203170000-663,MODULE_SENSOR_A,AOI_ASSY01,OP002,83,82,1,RUNNING,False,
180,2024-12-12 05:12:00,WO-241203170000-663,MODULE_SENSOR_A,TEST_FUNC_ASSY01,OP004,82,81,1,RUNNING,False,
181,2024-12-10 10:02:31,WO-241203170000-763,FPC_DL_PI35,LAMINATE01,OP003,266,258,8,RUNNING,False,
182,2024-12-11 00:46:15,WO-241203170000-763,FPC_DL_PI35,ETCH01,OP002,258,254,4,RUNNING,False,
183,2024-12-11 13:59:42,WO-241203170000-763,FPC_DL_PI35,DRILL_LASER01,OP002,254,244,10,RUNNING,False,
184,2024-12-12 04:53:27,WO-241203170000-763,FPC_DL_PI35,AOI_FPC01,OP005,244,238,6,RUNNING,False,
185,2024-12-12 20:00:31,WO-241203170000-763,FPC_DL_PI35,TEST_E_FPC01,OP002,238,234,4,RUNNING,False,
186,2024-12-09 22:57:38,WO-241204170000-131,FPC_SL_PI18,LAMINATE01,OP003,123,117,6,RUNNING,False,
187,2024-12-10 02:23:19,WO-241204170000-131,FPC_SL_PI18,ETCH01,OP003,117,113,4,RUNNING,False,
188,2024-12-10 06:00:23,WO-241204170000-131,FPC_SL_PI18,AOI_FPC01,OP004,113,112,1,RUNNING,False,
189,2024-12-10 09:59:32,WO-241204170000-131,FPC_SL_PI18,TEST_E_FPC01,OP003,112,106,6,RUNNING,False,
190,2024-12-16 22:42:03,WO-241204170000-589,FPC_SL_LCP9_HF,LAMINATE01,OP001,4989,4833,156,RUNNING,False,
191,2024-12-24 01:44:13,WO-241204170000-589,FPC_SL_LCP9_HF,ETCH01,OP005,4833,4778,55,RUNNING,False,
192,2024-12-29 16:18:16,WO-241204170000-589,FPC_SL_LCP9_HF,AOI_FPC01,OP003,4778,4645,133,RUNNING,False,
193,2025-01-04 17:26:50,WO-241204170000-589,FPC_SL_LCP9_HF,TEST_E_FPC01,OP004,4645,4485,160,RUNNING,False,
194,2024-12-10 15:56:31,WO-241204170000-445,FPC_DL_PI35,LAMINATE01,OP003,423,421,2,RUNNING,False,
195,2024-12-11 14:08:08,WO-241204170000-445,FPC_DL_PI35,ETCH01,OP002,421,412,9,RUNNING,False,
196,2024-12-12 15:07:54,WO-241204170000-445,FPC_DL_PI35,DRILL_LASER01,OP004,412,402,10,RUNNING,False,
197,2024-12-13 14:23:17,WO-241204170000-445,FPC_DL_PI35,AOI_FPC01,OP004,402,396,6,RUNNING,False,
198,2024-12-14 11:53:10,WO-241204170000-445,FPC_DL_PI35,TEST_E_FPC01,OP003,396,383,13,RUNNING,False,
199,2024-12-10 11:34:46,WO-241205170000-161,FPC_ML4_MPI12,LAMINATE01,OP003,150,143,7,RUNNING,False,
200,2024-12-11 05:31:25,WO-241205170000-161,FPC_ML4_MPI12,ETCH01,OP001,143,139,4,RUNNING,False,
201,2024-12-11 21:59:20,WO-241205170000-161,FPC_ML4_MPI12,DRILL_LASER01,OP004,139,133,6,RUNNING,False,
202,2024-12-12 12:30:42,WO-241205170000-161,FPC_ML4_MPI12,AOI_FPC01,OP004,133,126,7,RUNNING,False,
203,2024-12-13 02:53:27,WO-241205170000-161,FPC_ML4_MPI12,TEST_E_FPC01,OP002,126,119,7,RUNNING,False,
204,2024-12-10 05:48:18,WO-241206170000-290,FPC_SL_PI18,LAMINATE01,OP005,320,309,11,RUNNING,False,
205,2024-12-10 15:48:38,WO-241206170000-290,FPC_SL_PI18,ETCH01,OP004,309,308,1,RUNNING,False,
