salesorderid,orderdate,requireddeliverydate,orderstatus,ordertotalamount,customerid,customername,salesorderlineid,productid,productname,producttype,targetyield,standardcycletime_seconds,quantityordered,lineunitprice,linetotalamount,linestatus
SO-20241206151047-396,2024-12-06,2025-01-03,Partially Shipped,33252.25,CUST002,Future Devices Inc.,56,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,5651,5.75,32493.25,Partially_Shipped
SO-20241126135618-287,2024-11-26,2024-12-25,Partially Shipped,29156.8,CUST002,Future Devices Inc.,6,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,370,5.75,2127.5,Partially_Shipped
SO-20241126135618-287,2024-11-26,2024-12-25,Partially Shipped,29156.8,CUST002,Future Devices Inc.,7,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,3037,8.9,27029.3,Partially_Shipped
SO-20241126125829-505,2024-11-26,2024-12-28,Partially Shipped,2343.9,CUST003,AeroSpace Dynamics,11,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,222,2.5,555.0,Partially_Shipped
SO-20241127154349-281,2024-11-27,2024-12-07,Partially Shipped,114426.0,CUST002,Future Devices Inc.,13,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,7071,7.8,55153.8,Partially_Shipped
SO-20241128130218-312,2024-11-28,2024-12-11,Partially Shipped,9576.0,CUST002,Future Devices Inc.,17,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,343,15.2,5213.6,Partially_Shipped
SO-20241129154738-225,2024-11-29,2024-12-12,Partially Shipped,7547.8,CUST001,Global Tech Solutions,21,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,87,45.0,3915.0,Partially_Shipped
SO-20241130153420-616,2024-11-30,2024-12-15,Partially Shipped,12110.0,CUST003,AeroSpace Dynamics,23,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,292,2.5,730.0,Partially_Shipped
SO-20241204125509-167,2024-12-04,2025-01-08,Partially Shipped,132482.45,CUST001,Global Tech Solutions,42,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,5010,25.5,127755.0,Partially_Shipped
SO-20241202163756-281,2024-12-02,2025-01-08,Partially Shipped,145053.6,CUST002,Future Devices Inc.,31,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,9543,15.2,145053.6,Partially_Shipped
SO-20241205095740-531,2024-12-05,2024-12-29,Partially Shipped,2280.0,CUST003,AeroSpace Dynamics,47,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,150,15.2,2280.0,Partially_Shipped
SO-20241205084835-622,2024-12-05,2024-12-28,Partially Shipped,31078.5,CUST005,Automotive Innovations Ltd.,46,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,494,45.0,22230.0,Partially_Shipped
SO-20241206131635-442,2024-12-06,2025-01-08,Partially Shipped,15698.0,CUST002,Future Devices Inc.,51,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,219,45.0,9855.0,Partially_Shipped
SO-20241207123606-997,2024-12-07,2024-12-22,Partially Shipped,1468.75,CUST004,MediEquip Corp.,63,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,85,2.5,212.5,Partially_Shipped
SO-20241206131635-442,2024-12-06,2025-01-08,Partially Shipped,15698.0,CUST002,Future Devices Inc.,49,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,190,7.8,1482.0,Partially_Shipped
SO-20241205084835-622,2024-12-05,2024-12-28,Partially Shipped,31078.5,CUST005,Automotive Innovations Ltd.,45,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,347,25.5,8848.5,Partially_Shipped
SO-20241201134734-740,2024-12-01,2025-01-04,Partially Shipped,3978.3,CUST004,MediEquip Corp.,27,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,447,8.9,3978.3,Partially_Shipped
SO-20241207123606-997,2024-12-07,2024-12-22,Partially Shipped,1468.75,CUST004,MediEquip Corp.,64,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,115,5.75,661.25,Partially_Shipped
SO-20241204125509-167,2024-12-04,2025-01-08,Partially Shipped,132482.45,CUST001,Global Tech Solutions,43,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,151,15.2,2295.2,Partially_Shipped
SO-20241129154738-225,2024-11-29,2024-12-12,Partially Shipped,7547.8,CUST001,Global Tech Solutions,20,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,239,15.2,3632.8,Partially_Shipped
SO-20241201155015-913,2024-12-01,2024-12-15,Partially Shipped,27637.25,CUST001,Global Tech Solutions,28,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,238,2.5,595.0,Partially_Shipped
SO-20241203165330-856,2024-12-03,2024-12-31,Partially Shipped,661.25,CUST001,Global Tech Solutions,36,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,115,5.75,661.25,Partially_Shipped
SO-20241203100023-546,2024-12-03,2025-01-11,Partially Shipped,2909.4,CUST001,Global Tech Solutions,37,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,373,7.8,2909.4,Partially_Shipped
SO-20241207101135-674,2024-12-07,2024-12-23,Partially Shipped,3924.0,CUST003,AeroSpace Dynamics,57,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,482,5.75,2771.5,Partially_Shipped
SO-20241208145802-850,2024-12-08,2025-01-19,Partially Shipped,15475.8,CUST002,Future Devices Inc.,67,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,303,45.0,13635.0,Partially_Shipped
SO-20241209142610-917,2024-12-09,2024-12-23,Partially Shipped,78621.2,CUST003,AeroSpace Dynamics,71,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,3162,2.5,7905.0,Partially_Shipped
SO-20241207084250-498,2024-12-07,2024-12-18,Partially Shipped,34639.8,CUST004,MediEquip Corp.,61,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,4441,7.8,34639.8,Partially_Shipped
SO-20241204104022-298,2024-12-04,2024-12-23,Partially Shipped,21237.5,CUST003,AeroSpace Dynamics,39,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,447,45.0,20115.0,Partially_Shipped
SO-20241207101135-674,2024-12-07,2024-12-23,Partially Shipped,3924.0,CUST003,AeroSpace Dynamics,58,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,461,2.5,1152.5,Partially_Shipped
SO-20241206131635-442,2024-12-06,2025-01-08,Partially Shipped,15698.0,CUST002,Future Devices Inc.,50,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,490,8.9,4361.0,Partially_Shipped
SO-20241207123606-997,2024-12-07,2024-12-22,Partially Shipped,1468.75,CUST004,MediEquip Corp.,62,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,238,2.5,595.0,Partially_Shipped
SO-20241206151047-396,2024-12-06,2025-01-03,Partially Shipped,33252.25,CUST002,Future Devices Inc.,55,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,132,5.75,759.0,Partially_Shipped
SO-20241202111025-794,2024-12-02,2024-12-30,Partially Shipped,970.1,CUST003,AeroSpace Dynamics,32,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,109,8.9,970.1,Partially_Shipped
SO-20241204104022-298,2024-12-04,2024-12-23,Partially Shipped,21237.5,CUST003,AeroSpace Dynamics,40,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,123,2.5,307.5,Partially_Shipped
SO-20241211084257-252,2024-12-11,2024-12-31,Partially Shipped,10753.5,CUST002,Future Devices Inc.,85,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,127,25.5,3238.5,Partially_Shipped
SO-20241211144829-210,2024-12-11,2025-01-25,Partially Shipped,13196.8,CUST003,AeroSpace Dynamics,80,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,341,8.9,3034.9,Partially_Shipped
SO-20241209142610-917,2024-12-09,2024-12-23,Partially Shipped,78621.2,CUST003,AeroSpace Dynamics,72,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,8733,7.8,68117.4,Partially_Shipped
SO-20241209132723-728,2024-12-09,2025-01-17,Partially Shipped,8376.5,CUST003,AeroSpace Dynamics,73,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,179,25.5,4564.5,Partially_Shipped
SO-20241209132723-728,2024-12-09,2025-01-17,Partially Shipped,8376.5,CUST003,AeroSpace Dynamics,74,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,83,2.5,207.5,Partially_Shipped
SO-20241213120428-997,2024-12-13,2024-12-26,Partially Shipped,5650.1,CUST001,Global Tech Solutions,103,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,270,2.5,675.0,Partially_Shipped
SO-20241212122920-684,2024-12-12,2025-01-15,Partially Shipped,807.5,CUST001,Global Tech Solutions,91,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,323,2.5,807.5,Partially_Shipped
SO-20241215142916-769,2024-12-15,2025-01-28,Partially Shipped,51861.25,CUST005,Automotive Innovations Ltd.,108,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,383,5.75,2202.25,Partially_Shipped
SO-20241208095041-824,2024-12-08,2024-12-20,Partially Shipped,81435.25,CUST002,Future Devices Inc.,66,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,3731,5.75,21453.25,Partially_Shipped
SO-20241214160943-653,2024-12-14,2024-12-29,Partially Shipped,585.0,CUST002,Future Devices Inc.,104,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,234,2.5,585.0,Partially_Shipped
SO-20241218134734-175,2024-12-18,2025-01-07,Partially Shipped,36465.25,CUST001,Global Tech Solutions,124,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,417,25.5,10633.5,Partially_Shipped
SO-20241209132723-728,2024-12-09,2025-01-17,Partially Shipped,8376.5,CUST003,AeroSpace Dynamics,75,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,405,8.9,3604.5,Partially_Shipped
SO-20241215142916-769,2024-12-15,2025-01-28,Partially Shipped,51861.25,CUST005,Automotive Innovations Ltd.,110,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,2037,15.2,30962.4,Partially_Shipped
SO-20241213145955-781,2024-12-13,2025-01-01,Partially Shipped,161436.5,CUST002,Future Devices Inc.,95,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,455,45.0,20475.0,Partially_Shipped
SO-20241219154700-610,2024-12-19,2025-01-19,Partially Shipped,152.5,CUST003,AeroSpace Dynamics,130,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,61,2.5,152.5,Partially_Shipped
SO-20241215133111-386,2024-12-15,2025-01-06,Partially Shipped,3880.0,CUST005,Automotive Innovations Ltd.,106,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,50,15.2,760.0,Partially_Shipped
SO-20241215133111-386,2024-12-15,2025-01-06,Partially Shipped,3880.0,CUST005,Automotive Innovations Ltd.,105,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,400,7.8,3120.0,Partially_Shipped
SO-20241220142538-910,2024-12-20,2025-01-21,Partially Shipped,5619.15,CUST002,Future Devices Inc.,136,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,373,7.8,2909.4,Partially_Shipped
SO-20241216121818-770,2024-12-16,2025-01-22,Partially Shipped,16103.0,CUST005,Automotive Innovations Ltd.,113,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,114,5.75,655.5,Partially_Shipped
SO-20241210093803-731,2024-12-10,2025-01-16,Partially Shipped,4051.6,CUST003,AeroSpace Dynamics,77,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,167,15.2,2538.4,Partially_Shipped
SO-20241210093803-731,2024-12-10,2025-01-16,Partially Shipped,4051.6,CUST003,AeroSpace Dynamics,76,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,194,7.8,1513.2,Partially_Shipped
SO-20241210131750-697,2024-12-10,2025-01-09,Partially Shipped,2097.6,CUST005,Automotive Innovations Ltd.,78,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,138,15.2,2097.6,Partially_Shipped
SO-20241213093923-900,2024-12-13,2025-01-15,Partially Shipped,353827.1,CUST001,Global Tech Solutions,99,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,6109,45.0,274905.0,Partially_Shipped
SO-20241211165313-449,2024-12-11,2025-01-25,Partially Shipped,20297.75,CUST002,Future Devices Inc.,82,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,73,5.75,419.75,Partially_Shipped
SO-20241211102246-492,2024-12-11,2024-12-31,Partially Shipped,420161.8,CUST003,AeroSpace Dynamics,89,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,4714,2.5,11785.0,Partially_Shipped
SO-20241215152845-905,2024-12-15,2025-01-04,Partially Shipped,20570.0,CUST003,AeroSpace Dynamics,107,FPC_SL_PI18,FPC Single Layer Polyimide 18um Cu,FPC,0.985,120,8228,2.5,20570.0,Partially_Shipped
SO-20241213120428-997,2024-12-13,2024-12-26,Partially Shipped,5650.1,CUST001,Global Tech Solutions,102,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,317,8.9,2821.3,Partially_Shipped
SO-20241218164844-709,2024-12-18,2025-01-23,Partially Shipped,64154.2,CUST002,Future Devices Inc.,128,ASSY01_FPC_SL_PI18,Assembled FPC SL PI18 with SMT 01005,Assembled_FPC,0.992,180,7657,7.8,59724.6,Partially_Shipped
SO-20241218114110-204,2024-12-18,2025-01-12,Partially Shipped,5684.8,CUST004,MediEquip Corp.,122,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,374,15.2,5684.8,Partially_Shipped
SO-20241211084257-252,2024-12-11,2024-12-31,Partially Shipped,10753.5,CUST002,Future Devices Inc.,86,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,167,45.0,7515.0,Partially_Shipped
SO-20241209142610-917,2024-12-09,2024-12-23,Partially Shipped,78621.2,CUST003,AeroSpace Dynamics,70,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,292,8.9,2598.8,Partially_Shipped
SO-20241211102246-492,2024-12-11,2024-12-31,Partially Shipped,420161.8,CUST003,AeroSpace Dynamics,88,MODULE_SENSOR_A,Sensor Module with FPC_DL_PI35 & Housing,Module,0.995,600,8920,45.0,401400.0,Partially_Shipped
SO-20241211102246-492,2024-12-11,2024-12-31,Partially Shipped,420161.8,CUST003,AeroSpace Dynamics,87,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,459,15.2,6976.8,Partially_Shipped
SO-20241217095357-423,2024-12-17,2025-01-24,Partially Shipped,7207.1,CUST004,MediEquip Corp.,120,FPC_DL_PI35,FPC Double Layer Polyimide 35um Cu,FPC,0.978,200,426,5.75,2449.5,Partially_Shipped
SO-20241213120428-997,2024-12-13,2024-12-26,Partially Shipped,5650.1,CUST001,Global Tech Solutions,101,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,242,8.9,2153.8,Partially_Shipped
SO-20241217150506-354,2024-12-17,2025-01-24,Partially Shipped,151892.8,CUST001,Global Tech Solutions,115,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,326,15.2,4955.2,Partially_Shipped
SO-20241217150506-354,2024-12-17,2025-01-24,Partially Shipped,151892.8,CUST001,Global Tech Solutions,116,ASSY02_FPC_ML4_MPI12,Assembled FPC ML4 MPI12 with Fine Pitch IC (ACF),Assembled_FPC,0.988,300,360,25.5,9180.0,Partially_Shipped
SO-20241211144829-210,2024-12-11,2025-01-25,Partially Shipped,13196.8,CUST003,AeroSpace Dynamics,79,FPC_ML4_MPI12,"FPC Multi-Layer (4L) Mod-PI 12um Cu, HDI",FPC,0.965,450,456,15.2,6931.2,Partially_Shipped
SO-20241211144829-210,2024-12-11,2025-01-25,Partially Shipped,13196.8,CUST003,AeroSpace Dynamics,81,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,363,8.9,3230.7,Partially_Shipped
SO-20241213163829-429,2024-12-13,2025-01-08,Partially Shipped,36838.95,CUST005,Automotive Innovations Ltd.,92,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,388,8.9,3453.2,Partially_Shipped
SO-20241218164844-709,2024-12-18,2025-01-23,Partially Shipped,64154.2,CUST002,Future Devices Inc.,127,FPC_SL_LCP9_HF,"FPC Single Layer LCP 9um Cu, High-Freq",FPC,0.98,150,464,8.9,4129.6,Partially_Shipped
